id_school,id_student,female,age,drug
1,1,1,13.9081566659734,0
1,2,0,17.2480362339411,0
1,3,1,10.3704606732354,0
1,4,0,12.6300419701729,0
1,5,1,15.9936528308317,0
1,6,0,10.1551249623299,1
1,7,1,12.4221867809538,0
1,8,0,17.5367385505233,0
1,9,0,12.5323930266313,0
1,10,0,16.3120607170276,0
1,11,0,10.4621686600149,1
1,12,0,10.1774597754702,0
1,13,0,10.3599580647424,0
1,14,1,14.012082093861,0
1,15,0,13.7634915236849,1
1,16,0,14.0008532206994,0
1,17,0,14.9613775738981,1
1,18,1,13.5869015960488,0
1,19,0,11.4193126021419,1
1,20,1,12.1561920542736,0
1,21,0,15.2982071775477,0
1,22,0,17.9022288105916,1
1,23,0,9.1543362387456,0
1,24,1,12.9330187956803,0
1,25,0,15.4941904088482,0
1,26,0,13.0675224456936,1
1,27,1,15.5859542170074,0
1,28,1,14.9322210021783,0
1,29,1,15.4292924276087,1
1,30,0,11.7294370976742,0
1,31,1,17.4705798451323,1
1,32,0,13.4168593827635,0
1,33,0,13.5362929345574,0
1,34,1,15.9027977760416,0
1,35,1,9.10773760755546,0
1,36,1,16.7880615612958,0
1,37,0,16.0218808762729,0
1,38,0,12.3026508882176,0
1,39,1,11.0557174652349,0
1,40,1,16.7217745834496,0
1,41,0,12.2858675981406,0
1,42,0,12.1665955781937,0
1,43,0,16.355640348047,0
1,44,1,9.55494714039378,0
1,45,0,15.5644074808806,0
1,46,0,10.5412458542269,0
1,47,1,12.5939046435524,0
1,48,1,9.22021875414066,0
1,49,0,13.9925205067266,0
1,50,0,14.20869672345,0
1,51,1,9.07309533795342,0
1,52,1,15.6213092710823,0
1,53,1,13.1180844157934,0
1,54,1,12.7510992831085,0
1,55,0,11.4881457381416,0
1,56,0,15.1622067773715,0
1,57,1,9.80077938130125,0
1,58,1,11.9861506309826,0
1,59,1,15.5838582906872,0
1,60,1,10.5476054430474,0
1,61,1,12.9380929190665,0
